Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",5.829921,-3.140157,-90.000000,bottom
"C2","22pF","C_0805_2012Metric",5.501575,-3.139764,90.000000,bottom
"C3","1uF","C_0805_2012Metric",5.230709,-3.479921,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric",5.347638,-3.267323,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",6.125000,-3.437500,90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",5.824409,-3.951969,180.000000,bottom
"C7","10uF","C_0805_2012Metric",5.290354,-3.799213,-90.000000,bottom
"D1","SOD-123","D_0805_2012Metric",4.289764,-4.455217,90.000000,bottom
"D2","SOD-123","D_0805_2012Metric",5.056299,-4.455315,90.000000,bottom
"D3","SOD-123","D_0805_2012Metric",6.805561,-4.449163,90.000000,bottom
"D4","SOD-123","D_0805_2012Metric",7.561368,-4.448770,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",4.565354,-3.551575,-90.000000,bottom
"R1","10k","R_0805_2012Metric",5.212205,-3.267323,-90.000000,bottom
"R2","22","R_0805_2012Metric",4.860630,-3.377953,-90.000000,bottom
"R3","22","R_0805_2012Metric",4.750000,-3.379134,-90.000000,bottom
"R4","10k","R_0805_2012Metric",6.000000,-3.973425,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",5.648622,-4.186024,180.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",5.650000,-3.596850,0.000000,bottom
"USB1","Molex-0548190589","Molex-0548190589",4.823622,-2.881496,-90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",5.672441,-3.140945,180.000000,bottom
"MX1","MX-NoLED","MX-1U-NoLED",3.967717,-4.454724,0.000000,top
"MX2","MX-NoLED","MX-1U-NoLED",4.734252,-4.454429,0.000000,top
"MX3","MX-NoLED","MX-1U-NoLED",6.472835,-4.449213,0.000000,top
"MX4","MX-NoLED","MX-1U-NoLED",7.231496,-4.449213,0.000000,top
