Designator,Mid X,Mid Y,Rotation,Layer
C1,148.08,-79.76,270.0,bottom
C2,139.74,-79.75,90.0,bottom
C3,132.86,-88.39,0.0,bottom
C4,135.83,-82.99,90.0,bottom
C5,155.575,-87.3125,90.0,bottom
C6,147.94,-100.38,0.0,bottom
C7,134.375,-96.5,270.0,bottom
D1,108.96,-113.1625,90.0,bottom
D2,128.43,-113.165,90.0,bottom
D3,172.86125,-113.00875,90.0,bottom
D4,192.05875,-112.99875,90.0,bottom
F1,115.96,-90.21,270.0,bottom
MX1,100.78,-113.15,0.0,top
MX2,120.25,-113.1425,0.0,top
MX3,164.41,-113.01,0.0,top
MX4,183.68,-113.01,0.0,top
R1,132.39,-82.99,270.0,bottom
R2,123.46,-85.8,270.0,bottom
R3,120.65,-85.83,270.0,bottom
R4,152.4,-100.925,90.0,bottom
SW1,143.475,-106.325,0.0,bottom
U1,143.51,-91.36,180.0,bottom
USB1,122.52,-73.19,270.0,bottom
Y1,144.08,-79.78,0.0,bottom
